lab,coding,min,max,mean,range
babylab-brookes,gazepath,159.3333333333303,5942.66666666667,2269.2017543859647,5783.333333333339
babylab-princeton,handcoding,33,5500,2124.3384615384616,5467
babylab-westernsydney,handcoding,0,5628,2033.4684879518072,5628
bll-umanitoba,handcoding,33,5610,2099.806060606061,5577
cdc-ceu,gazepath,95,5633,1866.3956834532373,5538
elp-georgetown,gazepath,76,5776,2353.7061855670104,5700
infantlanglab-utk,handcoding,0,5400,1905.974358974359,5400
irl-concordia,gazepath,84.33333333332985,5951,2335.814814814815,5866.66666666667
koku-hamburg,gazepath,51,5092.66666666667,2323.083333333334,5041.66666666667
lll-liv,gazepath,49,6093,2126.501976284585,6044
nusinfantlanguagecentre,gazepath,51,5901,2136.8024691358023,5850
nusinfantlanguagecentre,handcoding,0,5734,1902.391304347826,5734
upf_barcelona,gazepath,134.3333333333303,5984.33333333333,1908.6013513513512,5850
weltentdecker-zurich,gazepath,65,5711,1925.655290102389,5646
